Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
MAHIPAL DHANDA,Bharatiya Janata Party,62074,Haryana,Panipat Rural,S07,24
DHARA SINGH RAWAL,Independent,25942,Haryana,Panipat Rural,S07,24
NISHAN SINGH MALIK,Indian National Lok Dal,23804,Haryana,Panipat Rural,S07,24
KHUSHI RAM JAGLAN,Indian National Congress,15247,Haryana,Panipat Rural,S07,24
RAMPHAL BEGAMPUR,Independent,5390,Haryana,Panipat Rural,S07,24
SANJAY KADYAN,Independent,4156,Haryana,Panipat Rural,S07,24
RAM NIWAS SHARMA,Bahujan Samaj Party,4043,Haryana,Panipat Rural,S07,24
SATISH SHARMA,Independent,2767,Haryana,Panipat Rural,S07,24
RAM RATTAN,Independent,2730,Haryana,Panipat Rural,S07,24
DHARAM PAL SHARMA,Haryana Janhit Congress (BL),1836,Haryana,Panipat Rural,S07,24
ANIL SAINI,Independent,1359,Haryana,Panipat Rural,S07,24
JAMSHED,Communist Party of India,1024,Haryana,Panipat Rural,S07,24
TEJBIR SINGH JAGLAN,Independent,857,Haryana,Panipat Rural,S07,24
HARISH,Independent,555,Haryana,Panipat Rural,S07,24
VIKAS,Independent,429,Haryana,Panipat Rural,S07,24
NARESH KUMAR,Independent,404,Haryana,Panipat Rural,S07,24
MADAN LAL MAJOKA,Independent,390,Haryana,Panipat Rural,S07,24
BALLU RATHI,Independent,336,Haryana,Panipat Rural,S07,24
BIJENDER GANJBAR,Smast Bhartiya Party,278,Haryana,Panipat Rural,S07,24
POOJA RANI,Independent,247,Haryana,Panipat Rural,S07,24
EKTA BANSAL,Haryana Lokhit Party,245,Haryana,Panipat Rural,S07,24
BIR SINGH,Haryana Kranti Dal,179,Haryana,Panipat Rural,S07,24
MOHINDER SINGH DESWAL,Samajwadi Party,159,Haryana,Panipat Rural,S07,24
None of the Above,None of the Above,427,Haryana,Panipat Rural,S07,24
ROHITA REWRI,Bharatiya Janata Party,92757,Haryana,Panipat City,S07,25
VIRENDER KUMAR SHAH,Indian National Congress,39036,Haryana,Panipat City,S07,25
NEELAM NARANG,Indian National Lok Dal,2630,Haryana,Panipat City,S07,25
DHARAM PAL GUPTA,Independent,1321,Haryana,Panipat City,S07,25
RAMESH CHAND,Bahujan Samaj Party,1213,Haryana,Panipat City,S07,25
FIROJ ALAM,Republican Party of India (A),551,Haryana,Panipat City,S07,25
MAHMOOD HASAN,Independent,515,Haryana,Panipat City,S07,25
PANKAJ THAKRAL,Haryana Lokhit Party,394,Haryana,Panipat City,S07,25
RAMESH SINGLA,Independent,202,Haryana,Panipat City,S07,25
RAVINDER KUMAR,Rashtriya Arya Raj Sabha,144,Haryana,Panipat City,S07,25
MASHTAK,Samajwadi Party,100,Haryana,Panipat City,S07,25
None of the Above,None of the Above,644,Haryana,Panipat City,S07,25
KRISHAN LAL PANWAR,Bharatiya Janata Party,40277,Haryana,Israna (SC),S07,26
BALBIR SINGH,Indian National Congress,38449,Haryana,Israna (SC),S07,26
BALWAN BALMIKI,Indian National Lok Dal,37615,Haryana,Israna (SC),S07,26
RAKESH,Bahujan Samaj Party,4495,Haryana,Israna (SC),S07,26
KIRSHAN,Communist Party of India,926,Haryana,Israna (SC),S07,26
SHANTI DEVI,Haryana Jan Chetna Party (V),504,Haryana,Israna (SC),S07,26
RAJBIR MOHANA,Haryana Lokhit Party,475,Haryana,Israna (SC),S07,26
KUMARI SONIYA,Haryana Kranti Dal,280,Haryana,Israna (SC),S07,26
RANDHIR SINGH,Samajwadi Party,220,Haryana,Israna (SC),S07,26
None of the Above,None of the Above,400,Haryana,Israna (SC),S07,26
RAVINDER MACHHROULI,Independent,53294,Haryana,Samalkha,S07,27
DHARM SINGH CHHOKER,Indian National Congress,32921,Haryana,Samalkha,S07,27
SHASHI KANT KAUSHIK,Bharatiya Janata Party,32134,Haryana,Samalkha,S07,27
RAM BHATERI RAWAL,Indian National Lok Dal,26477,Haryana,Samalkha,S07,27
OM PARKASH GUJJAR,Bahujan Samaj Party,1109,Haryana,Samalkha,S07,27
KARAN SINGH,Haryana Janhit Congress (BL),1092,Haryana,Samalkha,S07,27
RAVINDER,Independent,651,Haryana,Samalkha,S07,27
RANJITA KAUSHIK,Independent,585,Haryana,Samalkha,S07,27
SARAFAT,Haryana Kranti Dal,329,Haryana,Samalkha,S07,27
PARDEEP KUMAR,Independent,328,Haryana,Samalkha,S07,27
AZAD,Independent,308,Haryana,Samalkha,S07,27
ARYA SURESH CHHOKAR,Rashtriya Arya Raj Sabha,255,Haryana,Samalkha,S07,27
INSAR,Samajwadi Party,237,Haryana,Samalkha,S07,27
None of the Above,None of the Above,739,Haryana,Samalkha,S07,27
KULDIP SHARMA,Indian National Congress,46146,Haryana,Ganaur,S07,28
NIRMAL RANI,Indian National Lok Dal,38603,Haryana,Ganaur,S07,28
JITENDER SINGH,Bharatiya Janata Party,29798,Haryana,Ganaur,S07,28
RAJESH KUMAR,Independent,3254,Haryana,Ganaur,S07,28
HARI PARKASH,Bahujan Samaj Party,891,Haryana,Ganaur,S07,28
VIKRAM SINGH,Haryana Janhit Congress (BL),556,Haryana,Ganaur,S07,28
SATENDER,Independent,196,Haryana,Ganaur,S07,28
JOGENDER KUMAR,Independent,127,Haryana,Ganaur,S07,28
ISHWER SINGH,Rashtriya Arya Raj Sabha,99,Haryana,Ganaur,S07,28
SUNDER SINGH,Smast Bhartiya Party,73,Haryana,Ganaur,S07,28
RAMEHAR,Rashtravadi Janata Party,43,Haryana,Ganaur,S07,28
None of the Above,None of the Above,525,Haryana,Ganaur,S07,28
JAI TIRATH,Indian National Congress,36703,Haryana,Rai,S07,29
INDERJEET,Indian National Lok Dal,36700,Haryana,Rai,S07,29
KRISHNA GAHLAWAT,Bharatiya Janata Party,34523,Haryana,Rai,S07,29
RANJIT KAUSHIK,Haryana Janhit Congress (BL),3299,Haryana,Rai,S07,29
SATYAPAL  CHAUHAN,Bahujan Samaj Party,2837,Haryana,Rai,S07,29
PARAMJEET,Independent,646,Haryana,Rai,S07,29
COMRADE DEVENDER SINGH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),542,Haryana,Rai,S07,29
RAKESH KUMAR SAUDA,Independent,540,Haryana,Rai,S07,29
SANDEEP KUMAR,Independent,411,Haryana,Rai,S07,29
SUNIL KUMAR,Independent,391,Haryana,Rai,S07,29
BHAGWANDAS,Independent,232,Haryana,Rai,S07,29
RAJBIR,Independent,125,Haryana,Rai,S07,29
JAGBIR SINGH,Independent,37,Haryana,Rai,S07,29
BALBIR,Smast Bhartiya Party,37,Haryana,Rai,S07,29
NAVEEN KUMAR,Independent,37,Haryana,Rai,S07,29
None of the Above,None of the Above,477,Haryana,Rai,S07,29
JAIVEER SINGH,Indian National Congress,37829,Haryana,Kharkhauda (SC),S07,30
PAWAN KUMAR,Independent,23647,Haryana,Kharkhauda (SC),S07,30
ANITA,Indian National Lok Dal,22477,Haryana,Kharkhauda (SC),S07,30
DR. KULDEEP KAKRAN,Bharatiya Janata Party,13953,Haryana,Kharkhauda (SC),S07,30
NEELAM RANI,Haryana Janhit Congress (BL),1271,Haryana,Kharkhauda (SC),S07,30
SUBASH,Bahujan Samaj Party,500,Haryana,Kharkhauda (SC),S07,30
RAM CHANDER,Haryana Lokhit Party,422,Haryana,Kharkhauda (SC),S07,30
JAI DEV,Samajwadi Party,250,Haryana,Kharkhauda (SC),S07,30
MAYA DEVI,Independent,235,Haryana,Kharkhauda (SC),S07,30
GULAB SINGH,Poorvanchal Rashtriya Congress,73,Haryana,Kharkhauda (SC),S07,30
INDER SINGH,Smast Bhartiya Party,46,Haryana,Kharkhauda (SC),S07,30
None of the Above,None of the Above,402,Haryana,Kharkhauda (SC),S07,30
KAVITA JAIN,Bharatiya Janata Party,56832,Haryana,Sonipat,S07,31
DEV RAJ DIWAN,Indian National Congress,31022,Haryana,Sonipat,S07,31
SURENDER PANWAR,Indian National Lok Dal,29826,Haryana,Sonipat,S07,31
ANIL ANKUSH,Bahujan Samaj Party,1176,Haryana,Sonipat,S07,31
ARUN KAUSHIK,Haryana Janhit Congress (BL),895,Haryana,Sonipat,S07,31
RAJIV VERMA,Communist Party of India,755,Haryana,Sonipat,S07,31
VIMAL KISHOR,Independent,514,Haryana,Sonipat,S07,31
SURENDER SAINI,Independent,361,Haryana,Sonipat,S07,31
DR. ADISH JAIN,Independent,317,Haryana,Sonipat,S07,31
JAI BHAGWAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),281,Haryana,Sonipat,S07,31
RAMESH KHATRI LAMBARDAR,Independent,280,Haryana,Sonipat,S07,31
KAVITA W/O ANKUR VALECHA,Independent,220,Haryana,Sonipat,S07,31
SANT DHARAMVEER CHOTIWALA,Independent,211,Haryana,Sonipat,S07,31
JAGBIR SINGH,Independent,204,Haryana,Sonipat,S07,31
RAKESH SHARMA,Independent,171,Haryana,Sonipat,S07,31
RAM BHAJ,Independent,151,Haryana,Sonipat,S07,31
MANJEET,Haryana Lokhit Party,133,Haryana,Sonipat,S07,31
RAKESH KUMAR,Independent,108,Haryana,Sonipat,S07,31
SANDEEP,Rashtriya Arya Raj Sabha,89,Haryana,Sonipat,S07,31
KAVITA W/O AMIT,Independent,87,Haryana,Sonipat,S07,31
None of the Above,None of the Above,450,Haryana,Sonipat,S07,31
JAGBIR SINGH MALIK,Indian National Congress,41393,Haryana,Gohana,S07,32
DR.KRISHAN CHANDER BANGER,Indian National Lok Dal,38165,Haryana,Gohana,S07,32
RAM CHANDER JANGRA,Bharatiya Janata Party,28365,Haryana,Gohana,S07,32
PT.UMESH KUMAR SHARMA,Haryana Lokhit Party,2219,Haryana,Gohana,S07,32
DR.GAJRAJ KAUSHIK,Bahujan Samaj Party,1692,Haryana,Gohana,S07,32
SANJAY BARWASNIYA,Independent,1644,Haryana,Gohana,S07,32
DHARAMPAL SINGH MALIK,Haryana Janhit Congress (BL),1218,Haryana,Gohana,S07,32
RAMCHANDER,Independent,464,Haryana,Gohana,S07,32
MUKESH TAYAL,Independent,412,Haryana,Gohana,S07,32
ARYA NARENDER MAHRA,Rashtriya Arya Raj Sabha,307,Haryana,Gohana,S07,32
JAIPAL,Independent,250,Haryana,Gohana,S07,32
JAGBIR SINGH,Independent,176,Haryana,Gohana,S07,32
JAGBIR,Independent,86,Haryana,Gohana,S07,32
SAJJAN KUMAR,Smast Bhartiya Party,35,Haryana,Gohana,S07,32
KRISHAN,Independent,30,Haryana,Gohana,S07,32
None of the Above,None of the Above,612,Haryana,Gohana,S07,32
SRI KRISHAN,Indian National Congress,50530,Haryana,Baroda,S07,33
DR. KAPOOR SINGH NARWAL,Indian National Lok Dal,45347,Haryana,Baroda,S07,33
BALJIT SINGH MALIK,Bharatiya Janata Party,8698,Haryana,Baroda,S07,33
SURENDER,Independent,7525,Haryana,Baroda,S07,33
DEVENDER SINGH,Bahujan Samaj Party,3255,Haryana,Baroda,S07,33
JORAWAR SINGH,Haryana Jan Chetna Party (V),1126,Haryana,Baroda,S07,33
SANT RAM,Independent,569,Haryana,Baroda,S07,33
PARVEEN MALIK,Independent,567,Haryana,Baroda,S07,33
INDER SINGH SEHRAWAT,Independent,556,Haryana,Baroda,S07,33
RAMESH CHANDER,Haryana Lokhit Party,532,Haryana,Baroda,S07,33
RAJESH,Independent,524,Haryana,Baroda,S07,33
KULDEEP SINGH,Kalyankari Jantantrik Party,444,Haryana,Baroda,S07,33
SATISH,Independent,143,Haryana,Baroda,S07,33
SATYANARAYAN,Independent,134,Haryana,Baroda,S07,33
DHARAMPAL,Independent,84,Haryana,Baroda,S07,33
ANIL KUMAR,Independent,76,Haryana,Baroda,S07,33
KRISHAN KUMAR,Independent,41,Haryana,Baroda,S07,33
None of the Above,None of the Above,358,Haryana,Baroda,S07,33
PARMINDER SINGH DHULL,Indian National Lok Dal,54632,Haryana,Julana,S07,34
DHARMENDER SINGH DHULL,Indian National Congress,31826,Haryana,Julana,S07,34
ARVIND KUMAR SHARMA,Bahujan Samaj Party,22286,Haryana,Julana,S07,34
SANJEEV BUWANA,Bharatiya Janata Party,12013,Haryana,Julana,S07,34
PARKASH CHANDER,Communist Party of India  (Marxist),984,Haryana,Julana,S07,34
VISHAL,Haryana Janhit Congress (BL),578,Haryana,Julana,S07,34
SURESH JAGLAN,Independent,385,Haryana,Julana,S07,34
MUKESH,Bahujan Mukti Party,358,Haryana,Julana,S07,34
VINOD LATHER,Rashtriya Arya Raj Sabha,248,Haryana,Julana,S07,34
MANU DEV,Independent,161,Haryana,Julana,S07,34
INDERJEET,Independent,134,Haryana,Julana,S07,34
None of the Above,None of the Above,565,Haryana,Julana,S07,34
JASBIR DESWAL,Independent,29369,Haryana,Safidon,S07,35
DR.VANDANA SHARMA,Bharatiya Janata Party,27947,Haryana,Safidon,S07,35
KALI RAM PATWARI,Indian National Lok Dal,25958,Haryana,Safidon,S07,35
BACHAN SINGH ARYA,Indian National Congress,25204,Haryana,Safidon,S07,35
KARMVIR SAINI,Bahujan Samaj Party,19843,Haryana,Safidon,S07,35
ILAM SINGH,Independent,1528,Haryana,Safidon,S07,35
SHYAM SINGH,Haryana Jan Chetna Party (V),1130,Haryana,Safidon,S07,35
SATPAL SHARMA,Independent,681,Haryana,Safidon,S07,35
COMRADE SUSHIL KUMAR,Communist Party of India  (Marxist),487,Haryana,Safidon,S07,35
VIPUL,Independent,378,Haryana,Safidon,S07,35
PARVEEN,Independent,241,Haryana,Safidon,S07,35
SURENDER SINGH,Haryana Lokhit Party,173,Haryana,Safidon,S07,35
PRASHANT,Haryana Kranti Dal,167,Haryana,Safidon,S07,35
MAHAVIR,Rashtriya Mazdoor Ekta Party,73,Haryana,Safidon,S07,35
None of the Above,None of the Above,747,Haryana,Safidon,S07,35
DR. HARI CHAND MIDDHA,Indian National Lok Dal,31631,Haryana,Jind,S07,36
SURINDER SINGH BARWALA,Bharatiya Janata Party,29374,Haryana,Jind,S07,36
PRAMOD SEHWAG,Indian National Congress,15267,Haryana,Jind,S07,36
SUDHIR GAUTAM,Bahujan Samaj Party,13225,Haryana,Jind,S07,36
RAMESH KUMAR SAINI,Haryana Janhit Congress (BL),12246,Haryana,Jind,S07,36
TEK RAM KANDELA,Independent,11223,Haryana,Jind,S07,36
BRIJ MOHAN SINGLA,Independent,4293,Haryana,Jind,S07,36
COMRADE RAMESH CHANDER,Communist Party of India  (Marxist),1057,Haryana,Jind,S07,36
DR. DHARAMPAL JAIN,Haryana Lokhit Party,859,Haryana,Jind,S07,36
VIJAY PAL MAGHAN,Smast Bhartiya Party,537,Haryana,Jind,S07,36
SURENDER SINGH VALMIKI,Independent,438,Haryana,Jind,S07,36
ARYA SURINDER SAINI,Rashtriya Arya Raj Sabha,301,Haryana,Jind,S07,36
SATPAL,Independent,259,Haryana,Jind,S07,36
SATPAL,Kalyankari Jantantrik Party,204,Haryana,Jind,S07,36
PAWAN KUMAR,Independent,144,Haryana,Jind,S07,36
ASHWANI,Independent,132,Haryana,Jind,S07,36
PARBHATI RAM,Independent,86,Haryana,Jind,S07,36
None of the Above,None of the Above,439,Haryana,Jind,S07,36
PREM LATA,Bharatiya Janata Party,79674,Haryana,Uchana kalan,S07,37
DUSHYANT CHAUTALA,Indian National Lok Dal,72194,Haryana,Uchana kalan,S07,37
RANDHEER,Bahujan Samaj Party,3112,Haryana,Uchana kalan,S07,37
BHAG SINGH,Indian National Congress,1838,Haryana,Uchana kalan,S07,37
BIJENDER KUMAR,Haryana Janhit Congress (BL),974,Haryana,Uchana kalan,S07,37
SURENDER,Haryana Lokhit Party,728,Haryana,Uchana kalan,S07,37
DILBAG SINGH,Independent,639,Haryana,Uchana kalan,S07,37
INDER DATT,Communist Party of India,612,Haryana,Uchana kalan,S07,37
JODHA,Communist Party of India  (Marxist),586,Haryana,Uchana kalan,S07,37
BALWAN SINGH,Independent,571,Haryana,Uchana kalan,S07,37
RAKESH,Rashtriya Arya Raj Sabha,340,Haryana,Uchana kalan,S07,37
JAGROOP SINGH,Samajwadi Party,295,Haryana,Uchana kalan,S07,37
AMIT,Rashtriya Sahara Party,102,Haryana,Uchana kalan,S07,37
ANOOP KUMAR,Smast Bhartiya Party,83,Haryana,Uchana kalan,S07,37
None of the Above,None of the Above,268,Haryana,Uchana kalan,S07,37
PIRTHI SINGH,Indian National Lok Dal,72166,Haryana,Narwana (SC),S07,38
SANTOSH RANI,Bharatiya Janata Party,63014,Haryana,Narwana (SC),S07,38
VIDYA RANI,Indian National Congress,9869,Haryana,Narwana (SC),S07,38
VIKRAMJEET,Bahujan Samaj Party,1374,Haryana,Narwana (SC),S07,38
MANI RAM,Communist Party of India,1011,Haryana,Narwana (SC),S07,38
DHARAMBIR,Independent,847,Haryana,Narwana (SC),S07,38
SAMUNDER,Haryana Jan Chetna Party (V),712,Haryana,Narwana (SC),S07,38
RAJESH KUMAR,Independent,563,Haryana,Narwana (SC),S07,38
SURENDER KUMAR,Independent,407,Haryana,Narwana (SC),S07,38
AMIT KUMAR,Independent,404,Haryana,Narwana (SC),S07,38
RANDHIR SINGH,Smast Bhartiya Party,364,Haryana,Narwana (SC),S07,38
GYASU,Samajwadi Party,346,Haryana,Narwana (SC),S07,38
VIDHYA DEVI,Independent,254,Haryana,Narwana (SC),S07,38
VIJAY,Haryana Lokhit Party,128,Haryana,Narwana (SC),S07,38
None of the Above,None of the Above,1108,Haryana,Narwana (SC),S07,38
SUBHASH BARALA,Bharatiya Janata Party,49462,Haryana,Tohana,S07,39
NISHAN SINGH,Indian National Lok Dal,42556,Haryana,Tohana,S07,39
DEVENDER SINGH BABLI,Independent,38282,Haryana,Tohana,S07,39
PARAMVIR SINGH,Indian National Congress,33111,Haryana,Tohana,S07,39
SUNITA,Independent,1506,Haryana,Tohana,S07,39
DHARAMENDER GOTHWAL,Bahujan Samaj Party,1454,Haryana,Tohana,S07,39
RAMESH DULAT,Haryana Janhit Congress (BL),1008,Haryana,Tohana,S07,39
CHAND SINGH,Communist Party of India,869,Haryana,Tohana,S07,39
DHARAMPAL GILL,Independent,600,Haryana,Tohana,S07,39
RAJINDER KUMAR (RAJU NAYAK),Independent,540,Haryana,Tohana,S07,39
ASHOK KUMAR BABLI,Independent,533,Haryana,Tohana,S07,39
NARESH KUMAR,Smast Bhartiya Party,499,Haryana,Tohana,S07,39
PARMVEER,Independent,458,Haryana,Tohana,S07,39
NISHAN SINGH,Independent,368,Haryana,Tohana,S07,39
SANJEEV KUMAR,Independent,358,Haryana,Tohana,S07,39
MAJOR PURI,Haryana Lokhit Party,277,Haryana,Tohana,S07,39
RAJIV KUMAR,Independent,254,Haryana,Tohana,S07,39
SUBHASH,Independent,226,Haryana,Tohana,S07,39
None of the Above,None of the Above,703,Haryana,Tohana,S07,39
BALWAN SINGH DAULATPURIA,Indian National Lok Dal,60539,Haryana,Fatehabad,S07,40
DURA RAM,Haryana Janhit Congress (BL),57034,Haryana,Fatehabad,S07,40
SWATANTAR BALA CHAUDHARY,Bharatiya Janata Party,27305,Haryana,Fatehabad,S07,40
PRAHLAD SINGH GILLAN KHERA,Indian National Congress,25387,Haryana,Fatehabad,S07,40
DEEPAK BHIRDANA,Haryana Lokhit Party,3801,Haryana,Fatehabad,S07,40
BHIM SINGH,Republican Backward Congress,1367,Haryana,Fatehabad,S07,40
DARBARA SINGH,Independent,1351,Haryana,Fatehabad,S07,40
ANGAD DHINGSARA,Independent,1298,Haryana,Fatehabad,S07,40
MOHAN LAL NARANG,Communist Party of India  (Marxist),1199,Haryana,Fatehabad,S07,40
DR. SUSHIL INDORA,Bahujan Samaj Party,996,Haryana,Fatehabad,S07,40
JAI KARAN,Independent,548,Haryana,Fatehabad,S07,40
RAMESH KUMAR S/O PARMANAND,Independent,498,Haryana,Fatehabad,S07,40
MANGAL KHAROD,Independent,384,Haryana,Fatehabad,S07,40
PRAHLAD SINGH,Independent,349,Haryana,Fatehabad,S07,40
GULSHAN KUMAR (HOTEL WALE),Independent,335,Haryana,Fatehabad,S07,40
BHAJAN LAL,Independent,324,Haryana,Fatehabad,S07,40
RAMSARUP BHADU,Independent,314,Haryana,Fatehabad,S07,40
JAGDISH KUMAR,Independent,278,Haryana,Fatehabad,S07,40
DEVI LAL,Independent,273,Haryana,Fatehabad,S07,40
SURESH NAYAK,Smast Bhartiya Party,203,Haryana,Fatehabad,S07,40
BALWANT SINGH HARIYALA,Bharatiya Sant Mat Party,187,Haryana,Fatehabad,S07,40
KULDIP SINGH,Independent,186,Haryana,Fatehabad,S07,40
RAMESH KUMAR S/O HARICHAND,Independent,127,Haryana,Fatehabad,S07,40
HANUMAN,Independent,111,Haryana,Fatehabad,S07,40
SANDIP KUMAR,Independent,101,Haryana,Fatehabad,S07,40
VINOD KUMAR,Independent,87,Haryana,Fatehabad,S07,40
ATAM PARKASH,Independent,81,Haryana,Fatehabad,S07,40
None of the Above,None of the Above,410,Haryana,Fatehabad,S07,40
PROF. RAVINDER BALIALA,Indian National Lok Dal,50905,Haryana,Ratia (SC),S07,41
SUNITA DUGGAL,Bharatiya Janata Party,50452,Haryana,Ratia (SC),S07,41
JARNAIL SINGH,Indian National Congress,36681,Haryana,Ratia (SC),S07,41
RAM SAROOP RAMA,Haryana Janhit Congress (BL),6430,Haryana,Ratia (SC),S07,41
ANGREJ SINGH,Haryana Lokhit Party,5259,Haryana,Ratia (SC),S07,41
DALBIR SINGH,Communist Party of India  (Marxist),1849,Haryana,Ratia (SC),S07,41
MANGE RAM DAHIYA,Bahujan Samaj Party,1047,Haryana,Ratia (SC),S07,41
GIRDHARI LAL KAHTAK,Independent,691,Haryana,Ratia (SC),S07,41
SATPAL SINGH,Independent,514,Haryana,Ratia (SC),S07,41
BIBO RANI,Smast Bhartiya Party,492,Haryana,Ratia (SC),S07,41
JAIBIR SINGH BHARPUR,Independent,460,Haryana,Ratia (SC),S07,41
INDERJEET SINGH,Independent,421,Haryana,Ratia (SC),S07,41
SURENDER KUMAR ALIAS MAINPAL,Independent,405,Haryana,Ratia (SC),S07,41
SURJEET,Independent,289,Haryana,Ratia (SC),S07,41
OM PARKASH,Independent,207,Haryana,Ratia (SC),S07,41
None of the Above,None of the Above,854,Haryana,Ratia (SC),S07,41
BALKAUR SINGH,Shiromani Akali Dal,54112,Haryana,Kalawali (SC),S07,42
SHISHPAL KEHARWALA,Indian National Congress,41147,Haryana,Kalawali (SC),S07,42
RAJENDER SINGH DESUJODHA,Bharatiya Janata Party,17005,Haryana,Kalawali (SC),S07,42
NIRMAL SINGH MALRI,Haryana Lokhit Party,15416,Haryana,Kalawali (SC),S07,42
CHAIN SINGH,Communist Party of India  (Marxist),1593,Haryana,Kalawali (SC),S07,42
MELA SINGH,Haryana Janhit Congress (BL),1548,Haryana,Kalawali (SC),S07,42
GURJANT SINGH,Bahujan Samaj Party,1039,Haryana,Kalawali (SC),S07,42
RAJ KUMAR NAGAR,Samajwadi Party,969,Haryana,Kalawali (SC),S07,42
PURAN SINGH,Independent,583,Haryana,Kalawali (SC),S07,42
None of the Above,None of the Above,778,Haryana,Kalawali (SC),S07,42
NAINA SINGH CHAUTALA,Indian National Lok Dal,68029,Haryana,Dabwali,S07,43
DR.KAMALVIR SINGH,Indian National Congress,59484,Haryana,Dabwali,S07,43
DEV KUMAR SHARMA,Bharatiya Janata Party,22261,Haryana,Dabwali,S07,43
LILU RAM ASSA KHERA,Bahujan Samaj Party,1115,Haryana,Dabwali,S07,43
NIRMAL BISHNOI,Haryana Janhit Congress (BL),1012,Haryana,Dabwali,S07,43
JAGVINDER SINGH,Haryana Lokhit Party,904,Haryana,Dabwali,S07,43
JARNAIL SINGH,Independent,484,Haryana,Dabwali,S07,43
LACHHMAN DASS KANWARIA,Independent,382,Haryana,Dabwali,S07,43
GOLDI,Independent,352,Haryana,Dabwali,S07,43
PAWAN KUMAR JINDAL,Independent,195,Haryana,Dabwali,S07,43
GURNAM SINGH,Independent,123,Haryana,Dabwali,S07,43
KAMAL KUMAR,Independent,77,Haryana,Dabwali,S07,43
KALU RAM,Independent,74,Haryana,Dabwali,S07,43
None of the Above,None of the Above,1549,Haryana,Dabwali,S07,43
RAM CHAND KAMBOJ,Indian National Lok Dal,43971,Haryana,Rania,S07,44
GOBIND KANDA,Haryana Lokhit Party,39656,Haryana,Rania,S07,44
RANJIT SINGH,Indian National Congress,36703,Haryana,Rania,S07,44
JAGDISH NEHRA,Bharatiya Janata Party,19790,Haryana,Rania,S07,44
JAGTAR SINGH,Communist Party of India,1067,Haryana,Rania,S07,44
JAGDISH MANDHOLI WALA,Haryana Janhit Congress (BL),778,Haryana,Rania,S07,44
GURDEEP SINGH,Bahujan Samaj Party,769,Haryana,Rania,S07,44
SARAB PAUL SINGH,Independent,276,Haryana,Rania,S07,44
None of the Above,None of the Above,445,Haryana,Rania,S07,44
MAKHAN LAL SINGLA,Indian National Lok Dal,46573,Haryana,Sirsa,S07,45
GOPAL KANDA,Haryana Lokhit Party,43635,Haryana,Sirsa,S07,45
SUNITA SETIA,Bharatiya Janata Party,38742,Haryana,Sirsa,S07,45
NAVEEN KUMAR KEDIA,Indian National Congress,9779,Haryana,Sirsa,S07,45
KANCHAN KUMAR,Independent,1097,Haryana,Sirsa,S07,45
SATBIR SINGH,Independent,900,Haryana,Sirsa,S07,45
VIJAY KUMAR S/O VED PARKASH,Bahujan Samaj Party,708,Haryana,Sirsa,S07,45
SHYAM SUNDER,Haryana Janhit Congress (BL),485,Haryana,Sirsa,S07,45
BHOOP SINGH,Independent,303,Haryana,Sirsa,S07,45
SHWETA JAIN,Independent,262,Haryana,Sirsa,S07,45
INDER KUMAR,Independent,235,Haryana,Sirsa,S07,45
MOHAN LAL,Independent,224,Haryana,Sirsa,S07,45
VIJAY KUMAR S/O RAMESH CHANDER,Independent,186,Haryana,Sirsa,S07,45
NARENDER,Independent,137,Haryana,Sirsa,S07,45
None of the Above,None of the Above,875,Haryana,Sirsa,S07,45
ABHAY SINGH CHAUTALA,Indian National Lok Dal,69162,Haryana,Ellenabad,S07,46
PAWAN BENIWAL,Bharatiya Janata Party,57623,Haryana,Ellenabad,S07,46
RAMESH BHADU,Indian National Congress,11491,Haryana,Ellenabad,S07,46
GURJEET SINGH KAURA,Haryana Lokhit Party,4195,Haryana,Ellenabad,S07,46
JAS RAJ,Bahujan Samaj Party,1051,Haryana,Ellenabad,S07,46
KULDEEP BANA,Haryana Janhit Congress (BL),925,Haryana,Ellenabad,S07,46
SATPAL,Independent,824,Haryana,Ellenabad,S07,46
PAWAN KUMAR,Independent,558,Haryana,Ellenabad,S07,46
BANSI LAL,Independent,423,Haryana,Ellenabad,S07,46
SHYAM LAL SETIA,Independent,360,Haryana,Ellenabad,S07,46
KULDEEP BENIWAL,Independent,324,Haryana,Ellenabad,S07,46
NARENDER SINGH,Independent,215,Haryana,Ellenabad,S07,46
DEVI LAL,Independent,124,Haryana,Ellenabad,S07,46
INDERJEET,Independent,115,Haryana,Ellenabad,S07,46
None of the Above,None of the Above,719,Haryana,Ellenabad,S07,46
KULDEEP BISHNOI,Haryana Janhit Congress (BL),56757,Haryana,Adampur,S07,47
KULVEER SINGH BENIWAL,Indian National Lok Dal,39508,Haryana,Adampur,S07,47
SATINDER SINGH,Indian National Congress,10209,Haryana,Adampur,S07,47
KARAN SINGH RANOLIA,Bharatiya Janata Party,8319,Haryana,Adampur,S07,47
SUBHASH  CHANDER,Independent,1527,Haryana,Adampur,S07,47
SATBIR CHHIMPA,Bahujan Samaj Party,1167,Haryana,Adampur,S07,47
HARPAL NOKHWAL,Independent,647,Haryana,Adampur,S07,47
KULWANT SINGH,Republican Backward Congress,646,Haryana,Adampur,S07,47
